Date,US_Interest_Rate,EU_Interest_Rate,US_Electricity_Price,Electricity_Price_Germany_EUR/MWh,Electricity_Price_Netherlands_EUR/MWh,Electricity_Price_Italy_EUR/MWh,Electricity_Price_UK_GBP/MWh,US_Crude_Oil_Price_USD/barrel,US_Natural_Gas_Price_USD/mBtu,US_Coal_Price_USD/mBtu,EU_Crude_Oil_Price,EU_Natural_Gas_Price,EU_Coal_Price,Sedg_mean_close,Enph_mean_close,Spwr_mean_close,Fslr_mean_close,Quarter,Revenue_sedg,Gross_profit_sedg,Gross_margin_sedg,Operating_income_sedg,Net_income_sedg
1.3.2019,2.41,-0.4,0.135,30.797483176312245,40.52461641991925,53.56628532974428,44.29820995962315,58.15,2.95,2.08,66.14,5.197180073,60.85525131225586,39.17047627766927,8.990952355521065,4.179686251140776,53.003809429350355,Q1 -19,271871,86110,0.32,28048,19016
1.4.2019,2.42,-0.4,0.135,38.07990972222222,40.824625,53.32299999999999,43.548430555555555,63.86,2.65,2.07,71.23,4.95324985,60.85525131225586,42.10857173374721,9.794761884780158,4.876040844690232,59.05380957467215,Q2 -19,325010,110670,0.34,45353,33128
1.5.2019,2.39,-0.4,0.136,38.34901545698925,40.20241935483871,50.19608870967742,41.36440860215053,60.83,2.64,2.05,71.32,4.360182888,60.85525131225586,51.80272743918679,14.475454677234996,5.105078307065097,59.30227297002619,Q2 -19,325010,110670,0.34,45353,33128
1.6.2019,2.38,-0.4,0.139,33.26784027777778,36.242374999999996,51.32618055555555,38.76824712643678,54.66,2.4,2.03,64.22,3.483036,60.85525131225586,57.73750038146973,17.138000011444092,6.009495711326599,62.29399986,Q2 -19,325010,110670,0.34,45353,33128
1.7.2019,2.4,-0.4,0.14,39.23896169354838,39.587567204301074,51.70260752688172,41.05268817204301,57.35,2.37,2.02,63.92,3.595943909,60.85525131225586,62.703182220458984,20.413636120882902,7.366196242245761,65.99545426802202,Q3 -19,410556,139309,0.34,66017,41627
1.8.2019,2.13,-0.4,0.139,36.50332325268817,37.441303763440864,48.22766129032258,38.145161290322584,54.8,2.22,2,59.04,3.270196677,60.85525131225586,79.94318199157715,31.62409106,8.811394908211447,62.64272707158869,Q3 -19,410556,139309,0.34,66017,41627
1.9.2019,2.04,-0.443333333,0.139,34.965493055555555,36.56755555555556,50.604416666666665,36.20206944444445,56.95,2.56,1.96,62.83,3.086804586,60.85525131225586,81.65400085449218,24.772000122070313,8.606745147705078,63.51849994659424,Q3 -19,410556,139309,0.34,66017,41627
1.10.2019,1.83,-0.5,0.136,38.00892013888889,37.94275167785235,51.871328859060405,36.867369127516774,53.96,2.33,1.96,59.71,3.339724246,60.85525131225586,86.97500013268512,23.60869556924571,6.318441992220671,55.506956515104875,Q4 -19,418223,143249,0.34,50528,52778
1.11.2019,1.55,-0.5,0.133,40.9066875,42.70993055555556,48.71970833333334,44.43465277777778,57.03,2.65,1.96,63.21,4.781019523,60.85525131225586,79.53300018310547,19.33950033187866,5.261624097824097,53.65600051879883,Q4 -19,418223,143249,0.34,50528,52778
1.12.2019,1.55,-0.5,0.133,31.909902553763438,37.3946371,42.808830645161294,39.105080645161294,59.88,2.22,1.91,67.31,4.243548744,60.85525131225586,89.59904771,25.086190632411412,5.008263996669224,55.483809334891184,Q4 -19,418223,143249,0.34,50528,52778
1.1.2020,1.55,-0.5,0.134,34.26884409,37.102620967741935,46.45602150537634,35.72137096774193,57.52,2.02,1.94,63.65,3.626269711,50.16426849365234,103.4971422467913,31.068095706758044,5.462313152494884,53.997619447253996,Q1 -20,431218,140008,0.33,67775,42248
1.2.2020,1.58,-0.5,0.134,21.48375359195402,29.557844827586205,39.00704022988506,30.619568965517242,50.54,1.91,1.9,55.66,2.995477203,50.16426849365234,117.51894820363898,45.07105255126953,6.209974891261051,52.22263135,Q1 -20,431218,140008,0.33,67775,42248
1.3.2020,0.65,-0.5,0.134,22.38371130551817,24.74,31.62170928667564,31.689300134589505,29.21,1.79,1.93,32.01,2.789823671,50.16426849365234,97.75227286598899,37.635909427296035,4.254033511,37.343181956898086,Q1 -20,431218,140008,0.33,67775,42248
1.4.2020,0.05,-0.5,0.133,18.000333333333334,19.009722222222223,24.782319444444447,24.177652777777777,16.55,1.74,1.92,18.38,2.083882202,50.16426849365234,94.98571486700149,37.90476208641415,4.113574709211077,40.034285772414435,Q2 -20,331851,102963,0.31,29965,36668
1.5.2020,0.05,-0.5,0.134,17.880880376344088,17.64842741935484,22.538870967741932,22.167432795698925,28.56,1.75,1.89,29.38,1.46261232,50.16426849365234,124.6669994354248,56.49949989318848,4.646037912368774,43.21549968719482,Q2 -20,331851,102963,0.31,29965,36668
1.6.2020,0.08,-0.5,0.137,25.731194444444444,26.226555555555553,28.451347222222225,26.487027777777776,38.31,1.63,1.9,40.27,1.647299982,50.16426849365234,146.14977195046166,49.31090944463556,4.924688772721724,50.20409098538485,Q2 -20,331851,102963,0.31,29965,36668
1.7.2020,0.09,-0.5,0.137,30.66113911290323,29.349959677419353,38.91802419354838,29.446451612903225,40.71,1.77,1.91,43.24,1.640862822,50.16426849365234,165.32545471191406,57.00818218,6.211525960402056,58.513636502352625,Q3 -20,338095,108063,0.32,30394,43751
