Date,Eu_interest_rate
24.9.2018,-0.4
25.9.2018,-0.4
26.9.2018,-0.4
27.9.2018,-0.4
28.9.2018,-0.4
29.9.2018,-0.4
30.9.2018,-0.4
1.10.2018,-0.4
2.10.2018,-0.4
3.10.2018,-0.4
4.10.2018,-0.4
5.10.2018,-0.4
6.10.2018,-0.4
7.10.2018,-0.4
8.10.2018,-0.4
9.10.2018,-0.4
10.10.2018,-0.4
11.10.2018,-0.4
12.10.2018,-0.4
13.10.2018,-0.4
14.10.2018,-0.4
15.10.2018,-0.4
16.10.2018,-0.4
17.10.2018,-0.4
18.10.2018,-0.4
19.10.2018,-0.4
20.10.2018,-0.4
21.10.2018,-0.4
22.10.2018,-0.4
23.10.2018,-0.4
24.10.2018,-0.4
25.10.2018,-0.4
26.10.2018,-0.4
27.10.2018,-0.4
28.10.2018,-0.4
29.10.2018,-0.4
30.10.2018,-0.4
31.10.2018,-0.4
1.11.2018,-0.4
2.11.2018,-0.4
3.11.2018,-0.4
4.11.2018,-0.4
5.11.2018,-0.4
6.11.2018,-0.4
7.11.2018,-0.4
8.11.2018,-0.4
9.11.2018,-0.4
10.11.2018,-0.4
11.11.2018,-0.4
12.11.2018,-0.4
13.11.2018,-0.4
14.11.2018,-0.4
15.11.2018,-0.4
16.11.2018,-0.4
17.11.2018,-0.4
18.11.2018,-0.4
19.11.2018,-0.4
20.11.2018,-0.4
21.11.2018,-0.4
22.11.2018,-0.4
23.11.2018,-0.4
24.11.2018,-0.4
25.11.2018,-0.4
26.11.2018,-0.4
27.11.2018,-0.4
28.11.2018,-0.4
29.11.2018,-0.4
30.11.2018,-0.4
1.12.2018,-0.4
2.12.2018,-0.4
3.12.2018,-0.4
4.12.2018,-0.4
5.12.2018,-0.4
6.12.2018,-0.4
7.12.2018,-0.4
8.12.2018,-0.4
9.12.2018,-0.4
10.12.2018,-0.4
11.12.2018,-0.4
12.12.2018,-0.4
13.12.2018,-0.4
14.12.2018,-0.4
15.12.2018,-0.4
16.12.2018,-0.4
17.12.2018,-0.4
18.12.2018,-0.4
19.12.2018,-0.4
20.12.2018,-0.4
21.12.2018,-0.4
22.12.2018,-0.4
23.12.2018,-0.4
24.12.2018,-0.4
25.12.2018,-0.4
26.12.2018,-0.4
27.12.2018,-0.4
28.12.2018,-0.4
29.12.2018,-0.4
30.12.2018,-0.4
31.12.2018,-0.4
1.1.2019,-0.4
2.1.2019,-0.4
3.1.2019,-0.4
4.1.2019,-0.4
5.1.2019,-0.4
6.1.2019,-0.4
7.1.2019,-0.4
8.1.2019,-0.4
9.1.2019,-0.4
10.1.2019,-0.4
11.1.2019,-0.4
12.1.2019,-0.4
13.1.2019,-0.4
14.1.2019,-0.4
15.1.2019,-0.4
16.1.2019,-0.4
17.1.2019,-0.4
18.1.2019,-0.4
19.1.2019,-0.4
20.1.2019,-0.4
21.1.2019,-0.4
22.1.2019,-0.4
23.1.2019,-0.4
24.1.2019,-0.4
25.1.2019,-0.4
